,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Mar Del Plata,AR,-38.0023,-57.5575,11.6,84,0,2.24,clear sky
80,Tasiilaq,GL,65.6145,-37.6368,1.0,99,100,1.47,light snow
81,Qaanaaq,GL,77.484,-69.3632,-21.75,93,100,1.36,overcast clouds
82,Rawson,AR,-43.3002,-65.1023,17.52,35,0,11.75,clear sky
83,Saint-Augustin,CA,51.226,-58.6502,-0.61,98,100,0.68,overcast clouds
84,Khasan,RU,42.4308,130.6434,8.17,58,25,5.17,scattered clouds
85,Berdigestyakh,RU,62.0989,126.6992,-0.35,84,99,2.17,light snow
86,Ancud,CL,-41.8697,-73.8203,9.22,95,10,1.98,clear sky
87,Norman Wells,CA,65.282,-126.8329,-14.98,56,40,3.09,scattered clouds
88,Hella,NO,67.2,14.4333,1.6,62,0,6.69,clear sky
89,Vostok,RU,46.4856,135.8833,5.07,41,16,3.26,few clouds
90,Grindavik,IS,63.8424,-22.4338,7.26,81,100,9.26,overcast clouds
91,Souillac,MU,-20.5167,57.5167,27.21,69,40,7.72,light rain
92,Austin,US,30.2672,-97.7431,19.46,50,9,2.24,clear sky
93,Plettenberg Bay,ZA,-34.0527,23.3716,15.14,80,100,5.26,light rain
94,Sungairaya,ID,0.7,108.9,31.21,60,98,3.25,overcast clouds
95,Puerto Ayora,EC,-0.7393,-90.3518,24.08,92,70,3.31,broken clouds
96,Bluff,NZ,-46.6,168.3333,14.62,78,91,3.99,overcast clouds
97,Gat,IL,31.61,34.7642,22.44,100,0,2.25,clear sky
98,Hermanus,ZA,-34.4187,19.2345,11.56,62,95,8.53,overcast clouds
99,Brae,GB,60.3964,-1.353,7.47,79,100,4.26,overcast clouds
100,Batagay-Alyta,RU,67.8006,130.4114,-6.37,81,93,2.23,overcast clouds
101,Northam,GB,51.0333,-4.2167,10.9,95,12,3.77,few clouds
102,Kapaa,US,22.0752,-159.319,23.4,80,99,1.34,overcast clouds
103,Shuiji,CN,27.4214,118.345,22.82,63,100,1.38,overcast clouds
104,Cidreira,BR,-30.1811,-50.2056,14.27,76,0,5.33,clear sky
105,Kismayo,SO,-0.3582,42.5454,30.37,66,100,4.5,light rain
106,Itarema,BR,-2.9248,-39.9167,24.31,89,30,1.53,scattered clouds
107,Springbok,ZA,-29.6643,17.8865,10.65,54,0,1.77,clear sky
108,Hambantota,LK,6.1241,81.1185,31.19,84,40,3.09,scattered clouds
109,Ponta Do Sol,PT,32.6667,-17.1,16.51,82,27,2.51,scattered clouds
110,Khandyga,RU,62.6667,135.6,-1.38,71,18,2.17,few clouds
111,Borovoy,RU,55.4333,86.0833,13.6,16,0,2.0,clear sky
112,Tiksi,RU,71.6872,128.8694,-15.0,93,100,4.44,overcast clouds
113,Parana,AR,-31.732,-60.5238,13.08,80,0,2.89,clear sky
114,Huarmey,PE,-10.0681,-78.1522,19.22,88,50,3.88,scattered clouds
115,Touros,BR,-5.1989,-35.4608,25.43,84,100,2.16,overcast clouds
116,Koumac,NC,-20.5667,164.2833,23.22,91,100,3.25,overcast clouds
