City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Brae,GB,2022-04-12 16:45:30,60.3964,-1.353,6.31,75,100,7.28
68,Constitucion,CL,2022-04-12 16:45:30,-35.3333,-72.4167,17.31,51,92,6.05
69,Burns Lake,CA,2022-04-12 16:45:30,54.2331,-125.7533,-9.32,43,46,6.57
70,Plouzane,FR,2022-04-12 16:45:31,48.3833,-4.6167,14.18,77,75,7.72
71,Lavrentiya,RU,2022-04-12 16:45:31,65.5833,-171.0,-9.15,89,100,4.25
72,Bonoua,CI,2022-04-12 16:45:31,5.2741,-3.595,26.79,69,100,4.48
73,Pisco,PE,2022-04-12 16:44:45,-13.7,-76.2167,23.03,60,0,8.75
74,Kapaa,US,2022-04-12 16:45:32,22.0752,-159.319,23.18,95,75,5.14
75,Yerofey Pavlovich,RU,2022-04-12 16:45:32,53.9667,121.9667,-5.29,68,58,2.01
76,Los Llanos De Aridane,ES,2022-04-12 16:45:32,28.6585,-17.9182,16.86,84,75,5.66
77,Zhezkazgan,KZ,2022-04-12 16:45:33,47.8043,67.7144,8.99,66,0,4.0
78,Hualmay,PE,2022-04-12 16:45:33,-11.0964,-77.6139,22.34,72,27,4.69
79,Ponta Do Sol,PT,2022-04-12 16:45:33,32.6667,-17.1,22.62,64,75,4.22
80,Pevek,RU,2022-04-12 16:45:34,69.7008,170.3133,-26.07,89,98,1.4
81,Lata,PT,2022-04-12 16:45:34,40.1629,-8.3327,16.01,60,54,4.0
82,Half Moon Bay,US,2022-04-12 16:45:34,37.4636,-122.4286,12.55,58,0,7.2
83,Cherskiy,RU,2022-04-12 16:45:35,68.75,161.3,-26.94,94,64,0.8
84,Tuatapere,NZ,2022-04-12 16:45:35,-46.1333,167.6833,8.65,83,53,2.41
85,Hobart,AU,2022-04-12 16:45:35,-42.8794,147.3294,12.25,78,12,2.06
86,Kamenka,RU,2022-04-12 16:45:36,51.3223,42.7678,13.83,67,26,6.01
87,Lebu,CL,2022-04-12 16:46:36,-37.6167,-73.65,13.63,64,45,7.61
88,Kamaishi,JP,2022-04-12 16:46:37,39.2667,141.8833,12.66,68,62,3.06
89,Wajima,JP,2022-04-12 16:46:37,37.4,136.9,14.92,80,80,2.21
90,Tual,ID,2022-04-12 16:46:37,-5.6667,132.75,28.43,76,100,4.03
91,Tiksi,RU,2022-04-12 16:46:38,71.6872,128.8694,-26.98,100,84,2.32
92,Isiro,CD,2022-04-12 16:46:38,2.7739,27.616,23.44,69,54,1.32
93,Tuktoyaktuk,CA,2022-04-12 16:46:38,69.4541,-133.0374,-17.0,71,20,5.66
94,Ostrovnoy,RU,2022-04-12 16:46:38,68.0531,39.5131,-0.8,86,20,7.64
95,Bethel,US,2022-04-12 16:46:39,41.3712,-73.414,17.02,73,40,3.09
96,Nanortalik,GL,2022-04-12 16:46:39,60.1432,-45.2371,2.54,64,100,2.28
97,Danielskuil,ZA,2022-04-12 16:46:40,-28.1887,23.5395,17.33,49,6,2.84
98,Aklavik,CA,2022-04-12 16:46:40,68.2191,-135.0107,-14.0,61,20,3.09
99,Severo-Kurilsk,RU,2022-04-12 16:46:40,50.6789,156.125,-3.73,85,51,2.26
